timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T12:43:00.000Z";"2021-12-31T21:08:00.000Z";0.00906164237381;0.00913780938697;0.00847652208778;0.00878496125041;377332.04;157338203.34;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T18:19:03.000Z";"2021-12-30T05:30:03.000Z";0.00905666076684;0.00939798657638;0.00898361482047;0.00907224748686;272951;162482870.63;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T05:19:08.000Z";"2021-12-29T23:40:08.000Z";0.00955625983087;0.00966127680451;0.00898823186272;0.00906339933156;417024.04;162323748.53;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T00:01:03.000Z";"2021-12-28T22:29:03.000Z";0.0106318578;0.0106464107;0.00955798196032;0.00958404354115;395290.88;171647673.03;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T19:50:03.000Z";"2021-12-27T16:03:03.000Z";0.0106597655;0.010773659;0.0103113276;0.0106409344;465845.47;190575547.04;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T22:20:03.000Z";"2021-12-26T06:48:03.000Z";0.0107186359;0.0107981478;0.0103477584;0.0106589338;286644.15;190897192.17;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T21:20:03.000Z";"2021-12-25T00:04:03.000Z";0.0104578656;0.0107828654;0.0104440165;0.0107256724;196127.24;192091656.8;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T13:28:04.000Z";"2021-12-24T21:28:04.000Z";0.0105886825;0.0110508815;0.0104184335;0.0104583863;358315.25;187303900.35;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T18:35:03.000Z";"2021-12-23T01:15:03.000Z";0.0104532917;0.0109591856;0.0102513104;0.010588716;484749.86;189637270.2;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T21:04:07.000Z";"2021-12-22T14:41:03.000Z";0.0102255322;0.0108780069;0.0100526497;0.0104655332;548123.02;187430420.89;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T19:20:03.000Z";"2021-12-21T03:13:06.000Z";0.0100942771;0.0107805981;0.00998399202303;0.0102220889;367172.72;183069763.96;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T00:12:03.000Z";"2021-12-20T03:51:03.000Z";0.0102253419;0.0102362956;0.00983561186124;0.0101009527;379516.83;180899598.31;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T03:35:03.000Z";"2021-12-19T23:52:03.000Z";0.0107457564;0.0109111014;0.0102205581;0.0102206267;190128.5;183042115.47;"2021-12-19T23:59:59.999Z"
"2021-12-18T00:00:00.000Z";"2021-12-18T23:59:59.999Z";"2021-12-18T23:14:03.000Z";"2021-12-18T03:02:03.000Z";0.0104241637;0.0107974279;0.0103125273;0.0107234073;214749.15;192045649.12;"2021-12-18T23:59:59.999Z"
"2021-12-17T00:00:00.000Z";"2021-12-17T23:59:59.999Z";"2021-12-17T05:31:03.000Z";"2021-12-17T15:19:03.000Z";0.0106248276;0.0107805548;0.0101572196;0.0104523826;248196.39;187191129.5;"2021-12-17T23:59:59.999Z"
"2021-12-16T00:00:00.000Z";"2021-12-16T23:59:59.999Z";"2021-12-16T03:34:03.000Z";"2021-12-16T23:56:03.000Z";0.0111429431;0.0115501626;0.0106158953;0.010618351;502533.46;190162686.15;"2021-12-16T23:59:59.999Z"
"2021-12-15T00:00:00.000Z";"2021-12-15T23:59:59.999Z";"2021-12-15T07:21:00.000Z";"2021-12-15T13:01:03.000Z";0.0110350288;0.0113305345;0.0105403464;0.0111450149;561359.69;199593847.67;"2021-12-15T23:59:59.999Z"
"2021-12-14T00:00:00.000Z";"2021-12-14T23:59:59.999Z";"2021-12-14T23:15:00.000Z";"2021-12-14T06:49:03.000Z";0.0102900534;0.0114423323;0.0101806505;0.0105333798;733823.22;188639253.7;"2021-12-14T23:59:59.999Z"
"2021-12-13T00:00:00.000Z";"2021-12-13T23:59:59.999Z";"2021-12-13T00:01:03.000Z";"2021-12-13T23:57:03.000Z";0.0120594869;0.0120766457;0.0102622339;0.0102663923;615553.41;183857303.42;"2021-12-13T23:59:59.999Z"
"2021-12-12T00:00:00.000Z";"2021-12-12T23:59:59.999Z";"2021-12-12T19:37:03.000Z";"2021-12-12T10:43:03.000Z";0.0118572791;0.0121679735;0.0115312047;0.0120555177;422168.14;215897245.33;"2021-12-12T23:59:59.999Z"
"2021-12-11T00:00:00.000Z";"2021-12-11T23:59:59.999Z";"2021-12-11T16:27:03.000Z";"2021-12-11T00:13:03.000Z";0.0118908531;0.0123371056;0.0116609393;0.0119036993;486521.37;213177532.36;"2021-12-11T23:59:59.999Z"
"2021-12-10T00:00:00.000Z";"2021-12-10T23:59:59.999Z";"2021-12-10T13:46:03.000Z";"2021-12-10T23:56:03.000Z";0.0128843225;0.0129725067;0.0118781633;0.0119192208;1097948.41;213454689.4;"2021-12-10T23:59:59.999Z"
"2021-12-09T00:00:00.000Z";"2021-12-09T23:59:59.999Z";"2021-12-09T22:14:03.000Z";"2021-12-09T15:56:03.000Z";0.012355788;0.0135516428;0.0113921094;0.0128923528;1219835.6;230881006.16;"2021-12-09T23:59:59.999Z"
"2021-12-08T00:00:00.000Z";"2021-12-08T23:59:59.999Z";"2021-12-08T08:14:04.000Z";"2021-12-08T04:37:03.000Z";0.0126391801;0.0127228908;0.0121265614;0.0123692105;531964.56;221511455.91;"2021-12-08T23:59:59.999Z"
"2021-12-07T00:00:00.000Z";"2021-12-07T23:59:59.999Z";"2021-12-07T10:49:03.000Z";"2021-12-07T00:19:03.000Z";0.0111717256;0.0136886439;0.0111670318;0.0125919198;2019043.23;225498932.87;"2021-12-07T23:59:59.999Z"
"2021-12-06T00:00:00.000Z";"2021-12-06T23:59:59.999Z";"2021-12-06T23:11:03.000Z";"2021-12-06T11:01:03.000Z";0.0103377054;0.0112998078;0.00995160783996;0.01116432;862261.23;199932341.47;"2021-12-06T23:59:59.999Z"
"2021-12-05T00:00:00.000Z";"2021-12-05T23:59:59.999Z";"2021-12-05T01:51:03.000Z";"2021-12-05T21:23:03.000Z";0.0118970551;0.0119377848;0.0101726051;0.0103390727;877446.72;185152965.92;"2021-12-05T23:59:59.999Z"
"2021-12-04T00:00:00.000Z";"2021-12-04T23:59:59.999Z";"2021-12-04T02:59:03.000Z";"2021-12-04T05:29:03.000Z";0.0125152924;0.0127861437;0.0107139397;0.0118878061;1395416.66;212886935.84;"2021-12-04T23:59:59.999Z"
"2021-12-03T00:00:00.000Z";"2021-12-03T23:59:59.999Z";"2021-12-03T00:12:03.000Z";"2021-12-03T20:47:03.000Z";0.0136194446;0.0137000236;0.0123170237;0.0124760236;801425.52;223419842.29;"2021-12-03T23:59:59.999Z"
"2021-12-02T00:00:00.000Z";"2021-12-02T23:59:59.999Z";"2021-12-02T15:04:03.000Z";"2021-12-02T04:10:18.000Z";0.0136309714;0.0139457097;0.0133491815;0.0136177152;647456.95;243864163.42;"2021-12-02T23:59:59.999Z"
"2021-12-01T00:00:00.000Z";"2021-12-01T23:59:59.999Z";"2021-12-01T03:01:30.000Z";"2021-12-01T21:02:12.000Z";0.0145038471;0.014862895;0.0134603797;0.013634387;956983.78;244161769.33;"2021-12-01T23:59:59.999Z"
