timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T15:37:00.000Z";"2021-12-31T02:35:06.000Z";0.1221913459;0.126429056;0.1129461248;0.1199336955;277.66;1116496.54;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T08:06:06.000Z";"2021-12-30T22:42:06.000Z";0.1230077287;0.1249282037;0.112370757;0.1222177502;85.52;1137637.32;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T03:11:05.000Z";"2021-12-29T13:31:06.000Z";0.1268196585;0.1282344184;0.1200036974;0.1231506928;142.79;1146221.91;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T09:40:07.000Z";"2021-12-28T05:30:05.000Z";0.1320383208;0.1418283681;0.1150006432;0.127001934;2025.25;1181950.07;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T00:28:07.000Z";"2021-12-27T01:14:05.000Z";0.1336666289;0.1340344179;0.1263995627;0.1322705347;44.01;1230857.93;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T01:55:05.000Z";"2021-12-26T11:50:06.000Z";0.135123607;0.1359755041;0.1306238857;0.1336366659;306.28;1243445.21;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T21:50:05.000Z";"2021-12-25T06:16:05.000Z";0.1373422148;0.1391509027;0.130361099;0.1352869212;844.76;1258668.51;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T18:53:07.000Z";"2021-12-24T00:45:05.000Z";0.1257604246;0.1385582296;0.1247555335;0.1374588507;1004.27;1278746.87;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T19:50:06.000Z";"2021-12-23T00:39:06.000Z";0.1167061873;0.1260208483;0.1155211818;0.1257736771;433.71;1169922.65;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T18:31:06.000Z";"2021-12-22T17:58:12.000Z";0.1178680119;0.1283934292;0.1108989073;0.1167113861;15.84;1085513.73;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T08:30:06.000Z";"2021-12-21T01:26:06.000Z";0.1155564975;0.1195973859;0.1141853554;0.1177722625;94.5;1095270.44;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T23:32:06.000Z";"2021-12-20T13:05:06.000Z";0.1139651163;0.1168378215;0.109958793;0.1156484484;200.35;1075407.3;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T22:59:06.000Z";"2021-12-19T01:32:06.000Z";0.112905552;0.1159038244;0.1120721205;0.1138325216;85.11;1058412.97;"2021-12-19T23:59:59.999Z"
"2021-12-18T00:00:00.000Z";"2021-12-18T23:59:59.999Z";"2021-12-18T11:01:06.000Z";"2021-12-18T02:07:06.000Z";0.1127439089;0.115184138;0.1110080803;0.1128934306;137.05;1049570.89;"2021-12-18T23:59:59.999Z"
"2021-12-17T00:00:00.000Z";"2021-12-17T23:59:59.999Z";"2021-12-17T01:23:06.000Z";"2021-12-17T22:22:06.000Z";0.1203048399;0.1215421589;0.1116184363;0.1129488798;48.47;1049979.1;"2021-12-17T23:59:59.999Z"
"2021-12-16T00:00:00.000Z";"2021-12-16T23:59:59.999Z";"2021-12-16T17:23:06.000Z";"2021-12-16T22:11:06.000Z";0.1231511835;0.1267002721;0.1199219612;0.1201801574;65.22;1117085.85;"2021-12-16T23:59:59.999Z"
"2021-12-15T00:00:00.000Z";"2021-12-15T23:59:59.999Z";"2021-12-15T20:41:06.000Z";"2021-12-15T02:00:06.000Z";0.1141739493;0.1246050063;0.1130478856;0.1232182161;141.03;1145204.2;"2021-12-15T23:59:59.999Z"
"2021-12-14T00:00:00.000Z";"2021-12-14T23:59:59.999Z";"2021-12-14T23:16:00.000Z";"2021-12-14T00:19:05.000Z";0.1081882468;0.1248479877;0.1074637441;0.1100286431;170.61;1022485.66;"2021-12-14T23:59:59.999Z"
"2021-12-13T00:00:00.000Z";"2021-12-13T23:59:59.999Z";"2021-12-13T10:42:05.000Z";"2021-12-13T19:35:05.000Z";0.1156033036;0.1183119742;0.1058144203;0.1081029832;152.54;1004515.12;"2021-12-13T23:59:59.999Z"
"2021-12-12T00:00:00.000Z";"2021-12-12T23:59:59.999Z";"2021-12-12T08:31:06.000Z";"2021-12-12T10:13:05.000Z";0.1193678201;0.1251840386;0.1076841352;0.1155801652;379.83;1073882.21;"2021-12-12T23:59:59.999Z"
